测试,#genre#
cctv6_11,http://58.57.21.166:9901/tsfile/live/0006_1.m3u8
cctv6_11,http://59.174.225.178:8880/rtp/239.69.1.124:10382
cctv6_11,http://www.hiliu.myds.me:8088/rtp/239.69.1.124:10382
cctv6_11,http://www.furymax.top:85/rtp/239.69.1.124:10382
cctv7_11,http://59.44.102.18:8888/newlive/live/hls/9/live.m3u8
cctv7_11,http://rqd.mytvh.top:10287/stream/channelid/584410628?ticket=109eccb5355abff4498a0118c317f7ebfb10146e&profile=pass
cctv7_11,http://dg8006.runqidasoftware.top:10178/stream/channelid/487025677?ticket=e58be270bf36f5831dec959db403db11a6e92a81
cctv8_11,http://59.44.102.18:8888/newlive/live/hls/10/live.m3u8
cctv8_11,http://rqd.mytvh.top:10287/stream/channelid/617654684?ticket=39c1168db1b8d074efa9ca2488fa6e3f3600ab80&profile=pass
cctv8_11,http://dg8006.runqidasoftware.top:10178/stream/channelid/1999852833?ticket=4cf397301c42c7167854da8ba71e27f83351d002
cctv8_11,http://1.80.12.11:10000/hls/8/index.m3u8
cctv8_11,http://iku.sunnyli.link:4144/udp/239.252.219.253:5140
cctv9_11,http://59.44.102.18:8888/newlive/live/hls/11/live.m3u8
cctv9_11,http://rqd.mytvh.top:10287/stream/channelid/873310518?ticket=1f6b073ca6bb3c22855a8100d18eae6d2c916adf&profile=pass
cctv10_11,http://59.44.102.18:8888/newlive/live/hls/12/live.m3u8
cctv10_11,http://rqd.mytvh.top:10287/stream/channelid/1424474409?ticket=9b66d1d2a03d59bbf1923595eecb2bde0b6f232e&profile=pass
cctv10_11,http://dg8006.runqidasoftware.top:10178/stream/channelid/789739522?ticket=ffdbdbe9b44ebf35441265a639928ef2b2123f6e
cctv10_11,http://hls.cntv.kcdnvip.com/asp/hls/1200/0303000a/3/default/25137bd7c4494128bf0cba271974928f/1200.m3u8
cctv10_11,http://221.210.64.165:2233/hls/17/index.m3u8
cctv10_11,http://111.75.151.236:50085/newlive/live/hls/10/live.m3u8
cctv11_11,http://59.44.102.18:8888/newlive/live/hls/13/live.m3u8
cctv11_11,https://epg.pw/stream/6ba4b8f02bff74ce5171e23abaeba2663203fa82ab49744698d429566f706afe.m3u8
cctv11_11,http://dg8006.runqidasoftware.top:10178/stream/channelid/420526109?ticket=2c1d23737f4d06411aefcece965c8448fc51dfe6
cctv12_11,http://59.44.102.18:8888/newlive/live/hls/14/live.m3u8
cctv12_11,http://rqd.mytvh.top:10287/stream/channelid/1625264815?ticket=9d855b0195342adc9b703158e6ab2ebe05eea394&profile=pass
cctv12_11,http://223.12.185.142:8082/udp/239.1.1.19:8019
cctv13_11,http://59.44.102.18:8888/newlive/live/hls/15/live.m3u8
cctv13_11,http://rqd.mytvh.top:10287/stream/channelid/1797438446?ticket=80f01f5797dcfb9b04240bc56693f025173127f9&profile=pass
cctv13_11,http://dg8006.runqidasoftware.top:10178/stream/channelid/1975800423?ticket=bebf1c96cbd2bbb9be31536ed91e60c4bb68f37f
cctv13_11,http://171.108.239.74:8181/tsfile/live/1039_1.m3u8
cctv13_11,http://182.46.8.161:8018/hls/13/index.m3u8
cctv13_11,http://115.171.216.22:4000/udp/225.1.1.10:8128
cctv13_11,http://120.7.86.32:808/hls/13/index.m3u8
cctv14_11,http://59.44.102.18:8888/newlive/live/hls/16/live.m3u8
cctv14_11,http://dg8006.runqidasoftware.top:10178/stream/channelid/1049897665?ticket=59b27a0dd55a0aed495ee8305e89ec92ac6c7bab
cctv14_11,http://111.75.151.236:50085/newlive/live/hls/14/live.m3u8
cctv15_11,http://59.44.102.18:8888/newlive/live/hls/17/live.m3u8
cctv15_11,http://rqd.mytvh.top:10287/stream/channelid/338338535?ticket=f9bba4dae8938750b3be27a603275304aea8372a&profile=pass
cctv15_11,http://dg8006.runqidasoftware.top:10178/stream/channelid/1383038288?ticket=5db0b3121bfb6d6427d29495e48c11d5579341aa
cctv15_11,http://vod.cctv.cn/cms/2018-08-10/CCTV15_2m_20180810124638599-16050_video_1-001.mp4
cctv15_11,http://120.224.178.16:9901/tsfile/live/0015_1.m3u8

